timestamp,vib_x,vib_y,vib_z,vib_rms
1788592699.1074402,0.4237,0.4051,0.8588,1.0398
1788592699.1574402,0.4408,0.3605,0.9437,1.1022
1788592699.2074404,0.3714,0.4046,0.9288,1.079
1788592699.2574403,0.498,0.3626,1.0528,1.2198
1788592699.3074403,0.3934,0.3813,0.9451,1.0924
1788592699.3574402,0.4706,0.4064,0.9591,1.143
1788592699.4074402,0.4632,0.4158,0.956,1.1408
1788592699.4574404,0.4521,0.3674,0.8857,1.0601
1788592699.5074403,0.4685,0.3896,0.9247,1.1074
1788592699.5574403,0.4542,0.3988,0.9318,1.1107
1788592699.6074402,0.4957,0.4188,0.9689,1.1661
1788592699.6574402,0.4003,0.3363,0.9437,1.0788
1788592699.7074404,0.456,0.4166,0.9575,1.1394
1788592699.7574403,0.4426,0.3466,0.9379,1.0935
1788592699.8074403,0.4837,0.315,0.9834,1.1403
1788592699.8574402,0.4356,0.356,0.9138,1.0731
1788592699.9074402,0.5074,0.3628,0.8866,1.084
1788592699.9574404,0.4476,0.428,0.9531,1.1366
1788592700.0074403,0.4811,0.3653,0.9782,1.1497
1788592700.0574403,0.4251,0.371,0.925,1.0835
1788592700.1074402,0.4481,0.3256,0.9897,1.1342
1788592700.1574402,0.4198,0.3389,0.9071,1.0554
1788592700.2074404,0.4261,0.3704,0.942,1.0982
1788592700.2574403,0.4797,0.4696,0.9756,1.1842
1788592700.3074403,0.433,0.3697,0.9535,1.1106
1788592700.3574402,0.4317,0.3945,0.9163,1.087
1788592700.4074402,0.4518,0.3748,0.8893,1.0656
1788592700.4574404,0.4154,0.3732,0.9171,1.0737
1788592700.5074403,0.4202,0.3756,0.9656,1.118
1788592700.5574403,0.4612,0.3764,0.9488,1.1201
1788592700.6074402,0.4737,0.4012,0.9794,1.1596
1788592700.6574402,0.4895,0.3415,0.8777,1.0614
1788592700.7074404,0.4033,0.4067,0.9847,1.1392
1788592700.7574403,0.3713,0.3563,0.8639,1.0056
1788592700.8074403,0.4708,0.3792,0.944,1.121
1788592700.8574402,0.4062,0.3651,0.941,1.088
1788592700.9074402,0.4402,0.4101,0.9622,1.1348
1788592700.9574404,0.4303,0.4134,0.9825,1.1495
1788592701.0074403,0.4336,0.3897,0.9296,1.0973
1788592701.0574403,0.3927,0.3569,0.9582,1.0953
1788592701.1074402,0.4398,0.3609,0.9739,1.1279
1788592701.1574402,0.4429,0.3456,1.0024,1.1491
1788592701.2074404,0.4428,0.3866,0.9818,1.1443
1788592701.2574403,0.454,0.382,0.9614,1.1297
1788592701.3074403,0.4232,0.396,0.9665,1.127
1788592701.3574402,0.5063,0.3773,0.9445,1.1361
1788592701.4074402,0.4808,0.3838,0.9286,1.1139
1788592701.4574404,0.4598,0.4051,0.8599,1.0559
1788592701.5074403,0.442,0.3598,0.9625,1.1186
1788592701.5574403,0.4642,0.3945,0.9757,1.1503
1788592701.6074402,0.4388,0.3907,0.9606,1.126
1788592701.6574402,0.4115,0.3451,0.9224,1.0674
1788592701.7074404,0.4542,0.4024,0.9352,1.1148
1788592701.7574403,0.4495,0.35,0.949,1.1069
1788592701.8074403,0.4881,0.4114,1.0255,1.2079
1788592701.8574402,0.4304,0.3495,0.9575,1.1064
1788592701.9074402,0.3773,0.3548,0.9758,1.1047
1788592701.9574404,0.4257,0.4146,0.9841,1.1496
1788592702.0074403,0.4497,0.3796,0.9401,1.1091
1788592702.0574403,0.4313,0.3475,0.9782,1.1241
1788592702.1074402,0.453,0.4431,0.8726,1.0784
1788592702.1574402,0.4433,0.4029,1.0059,1.1708
1788592702.2074404,0.4701,0.3843,0.9794,1.1523
1788592702.2574403,0.4991,0.3717,0.9573,1.1418
1788592702.3074403,0.4362,0.3513,1.0117,1.1564
1788592702.3574402,0.4604,0.3976,0.9951,1.1663
1788592702.4074402,0.3981,0.4197,0.9089,1.0774
1788592702.4574404,0.4327,0.3668,0.8667,1.0358
1788592702.5074403,0.4626,0.3965,0.9221,1.1052
1788592702.5574403,0.3964,0.3653,0.9467,1.0894
1788592702.6074402,0.4901,0.3651,0.9327,1.1151
1788592702.6574402,0.4612,0.3518,0.995,1.1517
1788592702.7074404,0.4774,0.3957,0.8914,1.0859
1788592702.7574403,0.4495,0.3411,0.9014,1.0634
1788592702.8074403,0.4382,0.3808,0.9856,1.1439
1788592702.8574402,0.4826,0.3781,0.8688,1.0633
1788592702.9074402,0.4389,0.3703,0.937,1.099
1788592702.9574404,0.4145,0.3796,0.9074,1.0674
1788592703.0074403,0.3997,0.336,0.9531,1.0868
1788592703.0574403,0.5037,0.4156,0.9123,1.1219
1788592703.1074402,0.4711,0.3553,0.9265,1.0984
1788592703.1574402,0.4642,0.4104,0.9402,1.126
1788592703.2074404,0.4988,0.4014,0.9719,1.1638
1788592703.2574403,0.4891,0.3979,0.9267,1.1209
1788592703.3074403,0.4997,0.3651,0.9575,1.1401
1788592703.3574402,0.4206,0.3864,0.974,1.1291
1788592703.4074402,0.4164,0.4391,0.8937,1.0793
1788592703.4574404,0.4507,0.3421,1.0244,1.1703
1788592703.5074403,0.4897,0.3919,1.0193,1.1968
1788592703.5574403,0.4287,0.3091,0.9533,1.09
1788592703.6074402,0.4318,0.293,0.9441,1.0787
1788592703.6574402,0.4539,0.354,0.8832,1.0542
1788592703.7074404,0.4726,0.3718,0.9934,1.1612
1788592703.7574403,0.4608,0.341,0.9009,1.0678
1788592703.8074403,0.4501,0.3761,0.8583,1.0396
1788592703.8574402,0.4555,0.3593,1.0076,1.1627
1788592703.9074402,0.3724,0.3362,0.9071,1.0366
1788592703.9574404,0.4608,0.4083,0.8985,1.0892
1788592704.0074403,0.4391,0.3408,0.9225,1.077
1788592704.0574403,0.4131,0.4329,0.9839,1.1516
1788592704.1074402,0.4239,0.4033,0.8782,1.0553
1788592704.1574402,0.4325,0.4015,0.9189,1.0921
1788592704.2074404,0.4411,0.4233,0.9126,1.0984
1788592704.2574403,0.4688,0.3483,0.9644,1.1275
1788592704.3074403,0.4132,0.3881,0.9467,1.1034
1788592704.3574402,0.4841,0.3704,0.9922,1.1645
1788592704.4074402,0.407,0.3472,0.9367,1.0787
1788592704.4574404,0.4713,0.4146,0.8905,1.0895
1788592704.5074403,0.4542,0.4313,0.9378,1.1277
1788592704.5574403,0.4896,0.3523,1.0182,1.1835
1788592704.6074402,0.4984,0.3701,0.9505,1.1353
1788592704.6574402,0.5092,0.4055,0.9169,1.1245
1788592704.7074404,0.4391,0.417,0.9114,1.0942
1788592704.7574403,0.4512,0.3785,0.9868,1.1492
1788592704.8074403,0.4561,0.3659,0.9228,1.0925
1788592704.8574402,0.4623,0.3598,0.9752,1.1376
1788592704.9074402,0.4223,0.3741,0.9534,1.1078
1788592704.9574404,0.4744,0.3861,0.9151,1.1007
1788592705.0074403,0.3561,0.3601,0.9863,1.1087
1788592705.0574403,0.4375,0.3653,0.9715,1.1263
1788592705.1074402,0.4539,0.4174,0.9683,1.148
1788592705.1574402,0.4583,0.4361,0.9688,1.1571
1788592705.2074404,0.4241,0.369,0.9554,1.1085
1788592705.2574403,0.4291,0.3938,0.9423,1.1078
1788592705.3074403,0.4628,0.3767,0.9744,1.1426
1788592705.3574402,0.4524,0.3731,0.9897,1.1504
1788592705.4074402,0.4439,0.3597,0.9624,1.1192
1788592705.4574404,0.4454,0.3854,0.8837,1.062
1788592705.5074403,0.4592,0.3927,0.9773,1.149
1788592705.5574403,0.4583,0.3617,0.9652,1.128
1788592705.6074402,0.4303,0.3334,0.9404,1.0866
1788592705.6574402,0.3684,0.3779,0.9316,1.0707
1788592705.7074404,0.4192,0.3552,0.9368,1.086
1788592705.7574403,0.4815,0.3846,0.9538,1.1356
1788592705.8074403,0.4766,0.406,0.9829,1.1654
1788592705.8574402,0.4257,0.3613,0.9573,1.1082
1788592705.9074402,0.4314,0.4098,0.9717,1.1394
1788592705.9574404,0.4315,0.3722,0.9827,1.136
1788592706.0074403,0.4382,0.332,0.9516,1.099
1788592706.0574403,0.4309,0.3543,0.9092,1.0667
1788592706.1074402,0.4545,0.3765,0.9062,1.0814
1788592706.1574402,0.437,0.4323,0.9823,1.1588
1788592706.2074404,0.4667,0.3823,0.9339,1.1118
1788592706.2574403,0.4694,0.2924,0.9658,1.1129
1788592706.3074403,0.4163,0.4021,0.9455,1.1086
1788592706.3574402,0.4951,0.3493,0.8922,1.0785
1788592706.4074402,0.4877,0.4209,1.0062,1.1948
1788592706.4574404,0.4116,0.3795,0.9493,1.1021
1788592706.5074403,0.4194,0.3706,0.9706,1.1204
1788592706.5574403,0.4342,0.4041,1.0388,1.1962
1788592706.6074402,0.4707,0.3568,0.9692,1.135
1788592706.6574402,0.4685,0.3823,1.01,1.1772
1788592706.7074404,0.4708,0.4158,1.0003,1.1812
1788592706.7574403,0.4464,0.3833,0.9459,1.114
1788592706.8074403,0.4764,0.4185,0.9909,1.1764
1788592706.8574402,0.4792,0.35,0.9231,1.0974
1788592706.9074402,0.4273,0.4043,1.0296,1.1858
1788592706.9574404,0.4311,0.429,0.9244,1.1065
1788592707.0074403,0.4493,0.3665,0.9253,1.092
1788592707.0574403,0.4648,0.3661,0.9135,1.0884
1788592707.1074402,0.4257,0.3784,0.8576,1.0295
1788592707.1574402,0.4599,0.3804,0.9754,1.1435
1788592707.2074404,0.4529,0.3656,0.8862,1.0603
1788592707.2574403,0.418,0.3929,0.9152,1.0801
1788592707.3074403,0.4782,0.4111,0.9996,1.1819
1788592707.3574402,0.4936,0.3956,0.9779,1.1647
1788592707.4074402,0.4655,0.3473,0.9684,1.1292
1788592707.4574404,0.4365,0.3765,0.9278,1.0923
1788592707.5074403,0.461,0.3633,0.9874,1.1487
1788592707.5574403,0.4,0.3782,1.0074,1.148
1788592707.6074402,0.415,0.373,0.9921,1.1383
1788592707.6574402,0.4161,0.4108,1.0036,1.1615
1788592707.7074404,0.4542,0.3494,0.8965,1.064
1788592707.7574403,0.4563,0.3662,0.9288,1.0977
1788592707.8074403,0.4386,0.3609,0.9541,1.1104
1788592707.8574402,0.4824,0.3848,0.9418,1.126
1788592707.9074402,0.4865,0.3762,0.9079,1.0966
1788592707.9574404,0.4275,0.4102,0.9194,1.0938
1788592708.0074403,0.3848,0.3749,0.995,1.1308
1788592708.0574403,0.4893,0.3557,0.9618,1.1362
1788592708.1074402,0.5221,0.3825,0.9874,1.1806
1788592708.1574402,0.5166,0.3207,0.9145,1.0982
1788592708.2074404,0.4558,0.4007,0.9483,1.1259
1788592708.2574403,0.4111,0.3905,0.9217,1.0821
1788592708.3074403,0.4941,0.3897,0.9207,1.1152
1788592708.3574402,0.4788,0.426,0.8708,1.0812
1788592708.4074402,0.5043,0.37,0.9706,1.1547
1788592708.4574404,0.4312,0.3695,0.9401,1.0983
1788592708.5074403,0.513,0.3686,1.0098,1.1911
1788592708.5574403,0.3512,0.423,0.955,1.102
1788592708.6074402,0.4198,0.4129,0.9283,1.0993
1788592708.6574402,0.4341,0.4317,0.9623,1.1405
1788592708.7074404,0.4645,0.3744,0.9827,1.1496
1788592708.7574403,0.4792,0.3954,0.9849,1.1645
1788592708.8074403,0.4019,0.3465,0.9717,1.1072
1788592708.8574402,0.4255,0.3546,0.9282,1.0809
1788592708.9074402,0.4775,0.3523,1.0302,1.1889
1788592708.9574404,0.3788,0.3703,0.9318,1.0719
1788592709.0074403,0.4441,0.3891,0.9842,1.1477
1788592709.0574403,0.4806,0.3434,0.9343,1.1054
1788592709.1074402,0.4504,0.3958,0.9737,1.1435
1788592709.1574402,0.4739,0.3504,0.9288,1.1
1788592709.2074404,0.5106,0.388,0.9175,1.1194
1788592709.2574403,0.4768,0.3527,0.9708,1.1376
1788592709.3074403,0.4059,0.3463,0.9984,1.132
1788592709.3574402,0.4595,0.3243,0.9911,1.1396
1788592709.4074402,0.4139,0.3693,0.9936,1.138
1788592709.4574404,0.4259,0.371,0.9823,1.1331
1788592709.5074403,0.4759,0.3883,0.8954,1.0858
1788592709.5574403,0.3965,0.3776,0.9276,1.0771
1788592709.6074402,0.4322,0.4139,0.9347,1.1099
1788592709.6574402,0.4156,0.4076,1.0033,1.1599
1788592709.7074404,0.4573,0.3836,0.9546,1.1258
1788592709.7574403,0.4531,0.3996,1.0065,1.1739
1788592709.8074403,0.43,0.3296,0.9976,1.1352
1788592709.8574402,0.4194,0.4105,0.9223,1.0932
1788592709.9074402,0.4497,0.3847,0.9181,1.0923
1788592709.9574404,0.4927,0.3998,0.9285,1.1246
1788592710.0074403,0.421,0.3697,0.9605,1.112
1788592710.0574403,0.4099,0.3832,1.0081,1.1537
1788592710.1074402,0.3946,0.3775,1.0014,1.1406
1788592710.1574402,0.4526,0.4194,0.9812,1.1591
1788592710.2074404,0.5111,0.3742,0.9192,1.1163
1788592710.2574403,0.4743,0.3848,0.9538,1.1326
1788592710.3074403,0.4303,0.4106,0.9772,1.144
1788592710.3574402,0.4454,0.4122,0.8886,1.0761
1788592710.4074402,0.4098,0.411,0.8259,1.0094
1788592710.4574404,0.4955,0.3904,0.9595,1.1483
1788592710.5074403,0.3841,0.3381,0.9354,1.0662
1788592710.5574403,0.4615,0.3803,0.9508,1.1232
1788592710.6074402,0.4697,0.3681,0.9818,1.1489
1788592710.6574402,0.4606,0.3871,0.9079,1.0892
1788592710.7074404,0.4471,0.3917,0.9456,1.1169
1788592710.7574403,0.4126,0.4387,0.9683,1.1403
1788592710.8074403,0.403,0.3826,0.9575,1.1071
1788592710.8574402,0.4863,0.3661,0.9582,1.1352
1788592710.9074402,0.4473,0.384,1.0444,1.1993
1788592710.9574404,0.4683,0.3592,0.89,1.0679
1788592711.0074403,0.4911,0.34,0.9749,1.1433
1788592711.0574403,0.4724,0.4105,0.9636,1.149
1788592711.1074402,0.4371,0.362,0.9924,1.1432
1788592711.1574402,0.4635,0.3757,0.9059,1.0847
1788592711.2074404,0.4724,0.3115,1.038,1.1822
1788592711.2574403,0.4422,0.3874,0.967,1.1317
1788592711.3074403,0.4592,0.352,0.9842,1.1417
1788592711.3574402,0.4274,0.3843,0.8969,1.0653
1788592711.4074402,0.4342,0.4296,0.9569,1.1352
1788592711.4574404,0.4854,0.4217,0.9685,1.1625
1788592711.5074403,0.4565,0.3567,0.9175,1.0851
1788592711.5574403,0.3878,0.393,0.9115,1.0657
1788592711.6074402,0.436,0.4029,0.8876,1.0678
1788592711.6574402,0.3847,0.4071,0.9584,1.1101
1788592711.7074404,0.4453,0.3455,0.8864,1.0504
1788592711.7574403,0.4865,0.3487,0.9379,1.1126
1788592711.8074403,0.415,0.4318,1.0161,1.1795
1788592711.8574402,0.4507,0.3617,0.9575,1.1184
1788592711.9074402,0.4609,0.3387,0.9098,1.0747
1788592711.9574404,0.4735,0.3649,0.8874,1.07
1788592712.0074403,0.4688,0.4239,0.946,1.1377
1788592712.0574403,0.4705,0.3676,0.9577,1.1286
1788592712.1074402,0.4666,0.4201,0.9552,1.1431
1788592712.1574402,0.4093,0.4114,1.0006,1.1567
1788592712.2074404,0.4311,0.3795,0.9946,1.1485
1788592712.2574403,0.4662,0.3799,1.011,1.1763
1788592712.3074403,0.4546,0.3845,0.9765,1.1437
1788592712.3574402,0.4269,0.3769,0.9681,1.1232
1788592712.4074402,0.4433,0.3741,1.0118,1.1663
1788592712.4574404,0.4991,0.3957,0.8883,1.093
1788592712.5074403,0.4436,0.4215,0.9543,1.1336
1788592712.5574403,0.4332,0.3999,0.9717,1.1366
1788592712.6074402,0.4492,0.3756,0.9217,1.092
1788592712.6574402,0.4632,0.369,1.0167,1.1766
1788592712.7074404,0.4683,0.4073,0.9565,1.1402
1788592712.7574403,0.4926,0.3728,0.9415,1.1261
1788592712.8074403,0.4395,0.3742,1.0147,1.1674
1788592712.8574402,0.5246,0.3589,0.9318,1.1279
1788592712.9074402,0.3828,0.4157,0.9395,1.0964
1788592712.9574404,0.5342,0.4053,0.8861,1.1112
1788592713.0074403,0.4434,0.3431,1.0225,1.1661
1788592713.0574403,0.4419,0.3731,0.9009,1.0706
1788592713.1074402,0.4448,0.3388,0.9544,1.1061
1788592713.1574402,0.4565,0.4073,0.9613,1.1395
1788592713.2074404,0.4693,0.3941,1.0141,1.1849
1788592713.2574403,0.5007,0.3877,0.9164,1.1139
1788592713.3074403,0.4628,0.4055,0.9798,1.157
1788592713.3574402,0.4805,0.3877,0.9634,1.1443
1788592713.4074402,0.4686,0.3598,0.9517,1.1202
1788592713.4574404,0.4663,0.3777,0.9651,1.1364
1788592713.5074403,0.4747,0.3662,0.9872,1.155
1788592713.5574403,0.4609,0.4171,0.9449,1.131
1788592713.6074402,0.463,0.3465,0.9066,1.0753
1788592713.6574402,0.4701,0.395,0.9009,1.0902
1788592713.7074404,0.5307,0.4041,1.0381,1.2339
1788592713.7574403,0.4377,0.3191,0.9858,1.1248
1788592713.8074403,0.4385,0.3802,0.8761,1.0509
1788592713.8574402,0.4443,0.3815,0.978,1.1399
1788592713.9074402,0.4887,0.4111,1.006,1.1916
1788592713.9574404,0.4477,0.3984,0.9548,1.1273
1788592714.0074403,0.3863,0.377,0.9283,1.0738
1788592714.0574403,0.4834,0.365,0.9481,1.1251
1788592714.1074402,0.481,0.4355,0.9977,1.1901
1788592714.1574402,0.4306,0.3956,0.9542,1.1191
1788592714.2074404,0.4254,0.3623,1.0167,1.1601
1788592714.2574403,0.4399,0.373,0.918,1.0841
1788592714.3074403,0.3988,0.3473,0.9686,1.1036
1788592714.3574402,0.4815,0.4435,0.8483,1.0715
1788592714.4074402,0.4615,0.3615,0.9801,1.142
1788592714.4574404,0.4591,0.3683,0.9273,1.0983
1788592714.5074403,0.4069,0.4151,0.9473,1.1114
1788592714.5574403,0.4187,0.3801,0.9539,1.1089
1788592714.6074402,0.4804,0.3356,0.9315,1.1005
1788592714.6574402,0.424,0.4012,0.9747,1.1361
1788592714.7074404,0.4298,0.3532,0.927,1.0811
1788592714.7574403,0.4085,0.3634,1.0718,1.2032
1788592714.8074403,0.4383,0.4484,0.916,1.1101
1788592714.8574402,0.4504,0.3167,0.9643,1.1104
1788592714.9074402,0.4057,0.3718,0.9011,1.0558
1788592714.9574404,0.4555,0.3696,0.9807,1.1427
1788592715.0074403,0.4689,0.3789,0.898,1.0816
1788592715.0574403,0.4541,0.3907,0.9847,1.1526
1788592715.1074402,0.467,0.4101,1.0072,1.1835
1788592715.1574402,0.4096,0.3539,0.9212,1.0685
1788592715.2074404,0.4863,0.4236,1.0364,1.2207
1788592715.2574403,0.4657,0.4175,0.9975,1.1774
1788592715.3074403,0.483,0.3828,0.9132,1.1017
1788592715.3574402,0.4944,0.3445,0.9934,1.1619
1788592715.4074402,0.4664,0.4296,0.9207,1.1179
1788592715.4574404,0.4568,0.4025,0.9249,1.1073
1788592715.5074403,0.4569,0.4046,0.9582,1.136
1788592715.5574403,0.42,0.3895,0.9215,1.085
1788592715.6074402,0.4467,0.3828,0.9803,1.1433
1788592715.6574402,0.4485,0.3454,0.9059,1.0682
1788592715.7074404,0.4406,0.3534,0.9405,1.0971
1788592715.7574403,0.4375,0.3013,0.9962,1.129
1788592715.8074403,0.4998,0.369,0.9257,1.1148
1788592715.8574402,0.4323,0.4116,0.9071,1.0859
1788592715.9074402,0.4583,0.3566,0.9661,1.1272
1788592715.9574404,0.424,0.4367,0.9999,1.1706
1788592716.0074403,0.3905,0.3673,0.9416,1.0835
1788592716.0574403,0.4532,0.3924,0.8713,1.0576
1788592716.1074402,0.4731,0.3989,1.0254,1.1977
1788592716.1574402,0.47,0.384,0.9269,1.1079
1788592716.2074404,0.4147,0.3991,0.9729,1.1304
1788592716.2574403,0.4664,0.3458,0.9699,1.1304
1788592716.3074403,0.4579,0.3056,1.0079,1.1484
1788592716.3574402,0.4506,0.3543,0.9485,1.1083
1788592716.4074402,0.4265,0.3744,0.9071,1.07
1788592716.4574404,0.4585,0.4138,0.8955,1.0878
1788592716.5074403,0.4384,0.3608,0.9748,1.1281
1788592716.5574403,0.4931,0.3626,0.9674,1.1448
1788592716.6074402,0.4141,0.3553,0.8654,1.0231
1788592716.6574402,0.4563,0.4071,0.9386,1.1202
1788592716.7074404,0.4433,0.3752,0.9403,1.1052
1788592716.7574403,0.4333,0.397,0.9606,1.1261
1788592716.8074403,0.441,0.3948,0.9552,1.1237
1788592716.8574402,0.4932,0.3736,0.9949,1.1716
1788592716.9074402,0.4373,0.3583,0.8837,1.0491
1788592716.9574404,0.4562,0.3843,0.9158,1.0929
1788592717.0074403,0.55,0.3532,0.9486,1.152
1788592717.0574403,0.4418,0.3899,0.8955,1.072
1788592717.1074402,0.4582,0.4388,0.9277,1.1239
1788592717.1574402,0.472,0.3664,0.9385,1.1126
1788592717.2074404,0.4533,0.3722,0.9562,1.1218
1788592717.2574403,0.4321,0.3507,0.9404,1.0927
1788592717.3074403,0.4241,0.3189,0.9962,1.1287
1788592717.3574402,0.4823,0.3941,0.9212,1.112
1788592717.4074402,0.4167,0.3992,0.8921,1.0625
1788592717.4574404,0.4515,0.4306,0.9695,1.1529
1788592717.5074403,0.453,0.3556,0.9748,1.1322
1788592717.5574403,0.4219,0.3959,1.0234,1.1756
1788592717.6074402,0.4527,0.3847,0.8563,1.0422
1788592717.6574402,0.4179,0.3338,0.9269,1.0701
1788592717.7074404,0.4122,0.4548,0.9832,1.1591
1788592717.7574403,0.4549,0.371,0.9836,1.1454
1788592717.8074403,0.4521,0.3719,1.0134,1.1703
1788592717.8574402,0.4529,0.3578,0.9791,1.1366
1788592717.9074402,0.4614,0.3885,0.9148,1.0958
1788592717.9574404,0.4408,0.3537,0.9645,1.1179
1788592718.0074403,0.4187,0.3192,0.8762,1.0222
1788592718.0574403,0.4706,0.3924,1.0027,1.1751
1788592718.1074402,0.4339,0.3869,0.9973,1.1544
1788592718.1574402,0.4252,0.4292,0.9679,1.141
1788592718.2074404,0.4813,0.3702,0.9726,1.1466
1788592718.2574403,0.4745,0.3292,0.9505,1.1122
1788592718.3074403,0.4387,0.3607,0.9216,1.0825
1788592718.3574402,0.4329,0.3434,0.9325,1.0839
1788592718.4074402,0.4354,0.4112,1.0238,1.1861
1788592718.4574404,0.4568,0.3581,0.8791,1.0534
1788592718.5074403,0.4399,0.3653,0.9359,1.0968
1788592718.5574403,0.4227,0.3701,0.9982,1.1454
1788592718.6074402,0.4537,0.4108,0.9018,1.0899
1788592718.6574402,0.514,0.3658,0.9048,1.103
1788592718.7074404,0.3986,0.3654,0.942,1.0862
1788592718.7574403,0.5,0.4006,0.9341,1.1327
1788592718.8074403,0.4551,0.374,0.9104,1.0844
1788592718.8574402,0.4858,0.3164,0.9504,1.1133
1788592718.9074402,0.4459,0.3308,1.0089,1.1516
1788592718.9574404,0.4523,0.3784,1.0051,1.1653
1788592719.0074403,0.4718,0.3367,0.9676,1.1279
1788592719.0574403,0.4507,0.3635,0.928,1.0938
1788592719.1074402,0.438,0.3733,0.9207,1.0858
1788592719.1574402,0.4544,0.3727,0.9551,1.1214
1788592719.2074404,0.4595,0.3953,0.9789,1.1514
1788592719.2574403,0.3912,0.3021,0.9707,1.0893
1788592719.3074403,0.4203,0.4208,0.927,1.1014
1788592719.3574402,0.4464,0.4295,0.9713,1.152
